A	filename	PSG filename
YH	clock_h3_NREM_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in NREM stage (N1, N2, N3).
YI	clock_h3_R_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in REM stage.
YJ	clock_h3_amp_rms_uV	Hour 3 - Average rms (Root Mean Square) amplitude (uV) in all stages
YK	clock_h3_N1_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N1 stage (uV sec).
YL	clock_h3_N2_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 stage (uV sec).
YM	clock_h3_N3_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N3 stage (uV sec).
YN	clock_h3_N2N3_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 and N3 stage (uV sec).
YO	clock_h3_NREM_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in NREM stage (N1, N2, N3) (uV sec).
YP	clock_h3_R_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in REM stage (uV sec).
YQ	clock_h3_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in all stages (uV sec)
YR	clock_h4_valid_min	Hour 4 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
YS	clock_h4_N1_valid_min	Hour 4 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
YT	clock_h4_N2_valid_min	Hour 4 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
YU	clock_h4_N3_valid_min	Hour 4 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
YV	clock_h4_N2N3_valid_min	Hour 4 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
YW	clock_h4_NREM_valid_min	Hour 4 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
YX	clock_h4_R_valid_min	Hour 4 - Valid (no artifact) duration (min) in REM stage available for detection.
YY	clock_h4_min	Hour 4 duration (min) minus the REM periods if excluded.
YZ	clock_h4_N1_spindle_count	Hour 4 - Sleep spindle count in N1 stage.
ZA	clock_h4_N2_spindle_count	Hour 4 - Sleep spindle count in N2 stage.
ZB	clock_h4_N3_spindle_count	Hour 4 - Sleep spindle count in N3 stage.
ZC	clock_h4_N2N3_spindle_count	Hour 4 - Sleep spindle count in N2 and N3 stage.
ZD	clock_h4_NREM_spindle_count	Hour 4 - Sleep spindle count in NREM stage (N1, N2, N3).
ZE	clock_h4_R_spindle_count	Hour 4 - Sleep spindle count in REM stage.
ZF	clock_h4_spindle_count	Hour 4 - Sleep spindle count in all stages.
ZG	clock_h4_N1_density	Hour 4 - Spindle density (count/min) in N1 stage.
ZH	clock_h4_N2_density	Hour 4 - Spindle density (count/min) in N2 stage.
ZI	clock_h4_N3_density	Hour 4 - Spindle density (count/min) in N3 stage.
ZJ	clock_h4_N2N3_density	Hour 4 - Spindle density (count/min) in N2 and N3 stage.
ZK	clock_h4_NREM_density	Hour 4 - Spindle density (count/min) in NREM stage (N1, N2, N3).
ZL	clock_h4_R_density	Hour 4 - Spindle density (count/min) in REM stage.
ZM	clock_h4_density	Hour 4 - Spindle density (count/min) in all stages.
ZN	clock_h4_N1_spindle_sec	Hour 4 - Average spindle duration (s) in N1 stage.
ZO	clock_h4_N2_spindle_sec	Hour 4 - Average spindle duration (s) in N2 stage.
ZP	clock_h4_N3_spindle_sec	Hour 4 - Average spindle duration (s) in N3 stage.
ZQ	clock_h4_N2N3_spindle_sec	Hour 4 - Average spindle duration (s) in N2 and N3 stage.
ZR	clock_h4_NREM_spindle_sec	Hour 4 - Average spindle duration (s) in NREM stage (N1, N2, N3).
ZS	clock_h4_R_spindle_sec	Hour 4 - Average spindle duration (s) in REM stage.
ZT	clock_h4_spindle_sec	Hour 4 - Average spindle duration (s) in all stages.
ZU	clock_h4_N1_dom_freq_Hz	Hour 4 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
ZV	clock_h4_N2_dom_freq_Hz	Hour 4 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
ZW	clock_h4_N3_dom_freq_Hz	Hour 4 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
ZX	clock_h4_N2N3_dom_freq_Hz	Hour 4 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
ZY	clock_h4_NREM_dom_freq_Hz	Hour 4 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
ZZ	clock_h4_R_dom_freq_Hz	Hour 4 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
AAA	clock_h4_dom_freq_Hz	Hour 4 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
AAB	clock_h4_N1_avg_freq_Hz	Hour 4 - Spindle average frequency (Hz) counting peaks in N1 stage.
AAC	clock_h4_N2_avg_freq_Hz	Hour 4 - Spindle average frequency (Hz) counting peaks in N2 stage.
AAD	clock_h4_N3_avg_freq_Hz	Hour 4 - Spindle average frequency (Hz) counting peaks in N3 stage.
AAE	clock_h4_N2N3_avg_freq_Hz	Hour 4 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
AAF	clock_h4_NREM_avg_freq_Hz	Hour 4 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
AAG	clock_h4_R_avg_freq_Hz	Hour 4 - Spindle average frequency (Hz) counting peaks in REM stage.
AAH	clock_h4_avg_freq_Hz	Hour 4 - Spindle average frequency (Hz) counting peaks in all stages.
AAI	clock_h4_N1_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in N1 stage.
AAJ	clock_h4_N2_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in N2 stage.
AAK	clock_h4_N3_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in N3 stage.
AAL	clock_h4_N2N3_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in N2 and N3 stage.
AAM	clock_h4_NREM_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in NREM stage (N1, N2, N3).
AAN	clock_h4_R_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in REM stage.
AAO	clock_h4_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in all stages
AAP	clock_h4_N1_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in N1 stage.
AAQ	clock_h4_N2_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in N2 stage.
AAR	clock_h4_N3_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in N3 stage.
AAS	clock_h4_N2N3_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in N2 and N3 stage.
