A	filename	PSG filename
ABB	clock_h6_density	Hour 6 - Spindle density (count/min) in all stages.
ABC	clock_h6_N1_spindle_sec	Hour 6 - Average spindle duration (s) in N1 stage.
ABD	clock_h6_N2_spindle_sec	Hour 6 - Average spindle duration (s) in N2 stage.
ABE	clock_h6_N3_spindle_sec	Hour 6 - Average spindle duration (s) in N3 stage.
ABF	clock_h6_N2N3_spindle_sec	Hour 6 - Average spindle duration (s) in N2 and N3 stage.
ABG	clock_h6_NREM_spindle_sec	Hour 6 - Average spindle duration (s) in NREM stage (N1, N2, N3).
ABH	clock_h6_R_spindle_sec	Hour 6 - Average spindle duration (s) in REM stage.
ABI	clock_h6_spindle_sec	Hour 6 - Average spindle duration (s) in all stages.
ABJ	clock_h6_N1_dom_freq_Hz	Hour 6 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
ABK	clock_h6_N2_dom_freq_Hz	Hour 6 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
ABL	clock_h6_N3_dom_freq_Hz	Hour 6 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
ABM	clock_h6_N2N3_dom_freq_Hz	Hour 6 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
ABN	clock_h6_NREM_dom_freq_Hz	Hour 6 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
ABO	clock_h6_R_dom_freq_Hz	Hour 6 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
ABP	clock_h6_dom_freq_Hz	Hour 6 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
ABQ	clock_h6_N1_avg_freq_Hz	Hour 6 - Spindle average frequency (Hz) counting peaks in N1 stage.
ABR	clock_h6_N2_avg_freq_Hz	Hour 6 - Spindle average frequency (Hz) counting peaks in N2 stage.
ABS	clock_h6_N3_avg_freq_Hz	Hour 6 - Spindle average frequency (Hz) counting peaks in N3 stage.
