A	filename	PSG filename
BLT	stage_h4_neg_amp_uV	Stage Hour 4 - Average slow wave negative amplitude (µV) in all stages.
BLU	stage_h4_N1_neg_sec	Stage Hour 4 - Average slow wave negative duration (s) in N1 stage.
BLV	stage_h4_N2_neg_sec	Stage Hour 4 - Average slow wave negative duration (s) in N2 stage.
BLW	stage_h4_N3_neg_sec	Stage Hour 4 - Average slow wave negative duration (s) in N3 stage.
BLX	stage_h4_N2N3_neg_sec	Stage Hour 4 - Average slow wave negative duration (s) in N2 and N3 stage.
BLY	stage_h4_NREM_neg_sec	Stage Hour 4 - Average slow wave negative duration (s) in NREM stage (N1, N2, N3).
BLZ	stage_h4_R_neg_sec	Stage Hour 4 - Average slow wave negative duration (s) in REM stage.
BMA	stage_h4_neg_sec	Stage Hour 4 - Average slow wave negative duration (s) in all stages.
BMB	stage_h4_N1_pos_sec	Stage Hour 4 - Average slow wave positive duration (s) in N1 stage.
BMC	stage_h4_N2_pos_sec	Stage Hour 4 - Average slow wave positive duration (s) in N2 stage.
BMD	stage_h4_N3_pos_sec	Stage Hour 4 - Average slow wave positive duration (s) in N3 stage.
BME	stage_h4_N2N3_pos_sec	Stage Hour 4 - Average slow wave positive duration (s) in N2 and N3 stage.
BMF	stage_h4_NREM_pos_sec	Stage Hour 4 - Average slow wave positive duration (s) in NREM stage (N1, N2, N3).
BMG	stage_h4_R_pos_sec	Stage Hour 4 - Average slow wave positive duration (s) in REM stage.
BMH	stage_h4_pos_sec	Stage Hour 4 - Average slow wave positive duration (s) in all stages.
BMI	stage_h4_N1_slope_0_min	Stage Hour 4 - Average slow wave slope (uV/s) from 0 to min of negative in N1 stage.
BMJ	stage_h4_N2_slope_0_min	Stage Hour 4 - Average slow wave slope (uV/s) from 0 to min of negative in N2 stage.
BMK	stage_h4_N3_slope_0_min	Stage Hour 4 - Average slow wave slope (uV/s) from 0 to min of negative in N3 stage.
BML	stage_h4_N2N3_slope_0_min	Stage Hour 4 - Average slow wave slope (uV/s) from 0 to min of negative in N2 and N3 stage.
BMM	stage_h4_NREM_slope_0_min	Stage Hour 4 - Average slow wave slope (uV/s) from 0 to min of negative in NREM stage (N1, N2, N3).
BMN	stage_h4_R_slope_0_min	Stage Hour 4 - Average slow wave slope (uV/s) from 0 to min of negative in REM stage.
