A	filename	PSG filename
JQ	hour5_R_act	Hour 5 - The spectral power (uV^2) in rem.
JR	hour5_Unscored_act	Hour 5 - The spectral power (uV^2) unscored.
JS	hour6_act	Hour 6 - The spectral power (uV^2)
JT	hour6_W_act	Hour 6 - The spectral power (uV^2) in awake.
JU	hour6_N1_act	Hour 6 - The spectral power (uV^2) in N1.
JV	hour6_N2_act	Hour 6 - The spectral power (uV^2) in N2.
JW	hour6_N3_act	Hour 6 - The spectral power (uV^2) in N3.
JX	hour6_NREM_act	Hour 6 - The spectral power (uV^2) in NREM.
JY	hour6_R_act	Hour 6 - The spectral power (uV^2) in rem.
JZ	hour6_Unscored_act	Hour 6 - The spectral power (uV^2) unscored.
KA	hour7_act	Hour 7 - The spectral power (uV^2)
KB	hour7_W_act	Hour 7 - The spectral power (uV^2) in awake.
KC	hour7_N1_act	Hour 7 - The spectral power (uV^2) in N1.
KD	hour7_N2_act	Hour 7 - The spectral power (uV^2) in N2.
KE	hour7_N3_act	Hour 7 - The spectral power (uV^2) in N3.
KF	hour7_NREM_act	Hour 7 - The spectral power (uV^2) in NREM.
KG	hour7_R_act	Hour 7 - The spectral power (uV^2) in rem.
KH	hour7_Unscored_act	Hour 7 - The spectral power (uV^2) unscored.
KI	hour8_act	Hour 8 - The spectral power (uV^2)
KJ	hour8_W_act	Hour 8 - The spectral power (uV^2) in awake.
KK	hour8_N1_act	Hour 8 - The spectral power (uV^2) in N1.
KL	hour8_N2_act	Hour 8 - The spectral power (uV^2) in N2.
KM	hour8_N3_act	Hour 8 - The spectral power (uV^2) in N3.
KN	hour8_NREM_act	Hour 8 - The spectral power (uV^2) in NREM.
KO	hour8_R_act	Hour 8 - The spectral power (uV^2) in rem.
KP	hour8_Unscored_act	Hour 8 - The spectral power (uV^2) unscored.
KQ	hour9_act	Hour 9 - The spectral power (uV^2)
KR	hour9_W_act	Hour 9 - The spectral power (uV^2) in awake.
KS	hour9_N1_act	Hour 9 - The spectral power (uV^2) in N1.
KT	hour9_N2_act	Hour 9 - The spectral power (uV^2) in N2.
KU	hour9_N3_act	Hour 9 - The spectral power (uV^2) in N3.
KV	hour9_NREM_act	Hour 9 - The spectral power (uV^2) in NREM.
KW	hour9_R_act	Hour 9 - The spectral power (uV^2) in rem.
KX	hour9_Unscored_act	Hour 9 - The spectral power (uV^2) unscored.
KY	hour10_act	Hour 10 - The spectral power (uV^2)
