A	filename	PSG filename
APM	stage_h3_amp_rms_uV	Stage Hour 3 - Average rms (Root Mean Square) amplitude (µV) in all stages
APN	stage_h4_N1_valid_min	Stage Hour 4 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
APO	stage_h4_N2_valid_min	Stage Hour 4 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
APP	stage_h4_N3_valid_min	Stage Hour 4 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
APQ	stage_h4_N2N3_valid_min	Stage Hour 4 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
APR	stage_h4_NREM_valid_min	Stage Hour 4 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
APS	stage_h4_R_valid_min	Stage Hour 4 - Valid (no artifact) duration (min) in REM stage available for detection.
APT	stage_h4_min	Stage Hour 4 duration (min) minus the REM periods if excluded.
APU	stage_h4_N1_spindle_count	Stage Hour 4 - Sleep spindle count in N1 stage.
APV	stage_h4_N2_spindle_count	Stage Hour 4 - Sleep spindle count in N2 stage.
APW	stage_h4_N3_spindle_count	Stage Hour 4 - Sleep spindle count in N3 stage.
APX	stage_h4_N2N3_spindle_count	Stage Hour 4 - Sleep spindle count in N2 and N3 stage.
APY	stage_h4_NREM_spindle_count	Stage Hour 4 - Sleep spindle count in NREM stage (N1, N2, N3).
APZ	stage_h4_R_spindle_count	Stage Hour 4 - Sleep spindle count in REM stage.
AQA	stage_h4_spindle_count	Stage Hour 4 - Sleep spindle count in all stages.
AQB	stage_h4_N1_density	Stage Hour 4 - Spindle density (count/min) in N1 stage.
AQC	stage_h4_N2_density	Stage Hour 4 - Spindle density (count/min) in N2 stage.
AQD	stage_h4_N3_density	Stage Hour 4 - Spindle density (count/min) in N3 stage.
AQE	stage_h4_N2N3_density	Stage Hour 4 - Spindle density (count/min) in N2 and N3 stage.
AQF	stage_h4_NREM_density	Stage Hour 4 - Spindle density (count/min) in NREM stage (N1, N2, N3).
AQG	stage_h4_R_density	Stage Hour 4 - Spindle density (count/min) in REM stage.
AQH	stage_h4_N1_spindle_sec	Stage Hour 4 - Average spindle duration (s) in N1 stage.
AQI	stage_h4_N2_spindle_sec	Stage Hour 4 - Average spindle duration (s) in N2 stage.
